,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Belmonte,BR,72.95,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
18,Maiduguri,NG,75.0,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
19,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
27,Nagua,DO,77.0,few clouds,19.3832,-69.8474,Hotel Cambri
29,Gweta,BW,72.27,overcast clouds,-20.1833,25.2333,Gweta Lodge
34,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
36,Vila Velha,BR,70.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
40,Mitsamiouli,KM,74.89,clear sky,-11.3847,43.2844,Foyer ADM
43,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
47,Guaxupe,BR,70.56,overcast clouds,-21.3053,-46.7128,Class Hotel Guaxupé
50,Touros,BR,76.44,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
51,Tonantins,BR,74.48,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
54,Dehloran,IR,77.79,scattered clouds,32.6941,47.2679,کافه گیم استورم
57,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
62,Porto Novo,BJ,75.81,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
65,Axim,GH,76.66,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
66,Alta Floresta,BR,75.09,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
76,Cabedelo,BR,74.07,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
83,Adzope,CI,71.69,overcast clouds,6.1069,-3.8619,Hôtel AKL
84,Abeche,TD,78.28,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
86,Saint-Leu,RE,70.95,scattered clouds,-21.15,55.2833,La Caz Oceane
88,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
96,Oussouye,SN,78.85,overcast clouds,12.485,-16.5469,Auberge du Routard
106,Muisne,EC,73.8,overcast clouds,0.6,-80.0333,Quinta Samay
107,Eyl,SO,76.73,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
119,Conde,BR,72.3,clear sky,-7.2597,-34.9075,Pousada Beija Flor
127,Katiola,CI,70.54,overcast clouds,8.1333,-5.1,Auberge Residence Yebin
129,Cayenne,GF,77.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
138,Barkhan,PK,71.46,clear sky,29.8977,69.5256,Sardar
143,Arraial Do Cabo,BR,70.2,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
144,Sinnamary,GF,79.0,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
147,Sao Filipe,CV,76.6,scattered clouds,14.8961,-24.4956,Hotel Xaguate
150,Sao Joao Da Barra,BR,70.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
151,Ponta Do Sol,PT,70.72,scattered clouds,32.6667,-17.1,Hotel do Campo
155,Korhogo,CI,70.16,overcast clouds,9.45,-5.6333,Hôtel Tchinbota
156,Nouakchott,MR,75.13,clear sky,18.0858,-15.9785,HOTEL IMAN
159,Harper,LR,76.95,overcast clouds,4.375,-7.7169,Screensaver
161,Allapalli,IN,77.7,overcast clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
163,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
164,Takoradi,GH,76.14,light rain,4.8845,-1.7554,Raybow International Hotel
167,La Asuncion,VE,79.5,clear sky,11.0333,-63.8628,Colinas de Matasiete
175,Caravelas,BR,73.33,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
176,Inhambane,MZ,70.56,clear sky,-23.865,35.3833,Oceano
178,Piacabucu,BR,73.63,clear sky,-10.4056,-36.4344,Piaçabuçu News
185,Saint-Pierre,RE,71.56,clear sky,-21.3393,55.4781,Alize Plage
189,Barahona,DO,78.75,few clouds,18.2085,-71.1008,Hotel Caribe
203,Porto Walter,BR,71.01,broken clouds,-8.2686,-72.7439,Hotel Silva
208,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
209,Magaria,NE,76.78,overcast clouds,12.9983,8.9099,Chez Honorable Chapiou
215,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
220,Saint George,US,74.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
222,Mormugao,IN,79.79,overcast clouds,15.4,73.8,Coconut Creek Resort
241,Elmina,GH,75.99,light rain,5.0898,-1.348,Esteem Kofi and Adjoa Guesthouse
246,Manati,PR,78.71,broken clouds,18.4275,-66.4921,Manati World Point Inn
249,Ipixuna,BR,74.12,overcast clouds,-1.7625,-48.8043,Chalé do Mato
253,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
268,Birur,IN,73.42,overcast clouds,13.6167,75.9667,HOTEL SUKHASAGAR VAIBHAV
270,Sal Rei,CV,75.51,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
275,Dalmau,IN,77.05,clear sky,26.0667,81.0333,Tripathi Hotel
276,Ponce,PR,76.6,broken clouds,18.073,-66.6185,Villa Del Paraíso
279,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
280,Aurad,IN,73.74,overcast clouds,18.25,77.4333,Bishmilla Birayani Hotel Aurad C
282,Kingston,JM,76.24,overcast clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
290,Camopi,GF,70.81,scattered clouds,3.1655,-52.3158,La pousada
301,Yenagoa,NG,74.37,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
302,Duki,PK,70.05,clear sky,30.1541,68.5728,ماسٹر رشید مرحوم
304,Monrovia,LR,74.97,moderate rain,6.3005,-10.7969,Sunset Inn
306,Hwange,ZW,71.82,scattered clouds,-18.3693,26.5019,Hwange Colliery Guest House
307,Sinazongwe,ZM,74.16,clear sky,-17.2614,27.4618,Lakeview Lodge
309,Matay,EG,73.45,clear sky,28.419,30.7792,Nag Aespen
310,Gat,IL,70.39,clear sky,31.61,34.7642,OlusHome
311,Kisangani,CD,70.34,light rain,0.5167,25.2,Grand Ramela Hotel
312,Quatre Cocos,MU,72.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
315,Calabozo,VE,75.16,scattered clouds,8.9242,-67.4293,Hotel Giardini
329,Ambilobe,MG,70.11,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
330,Madingou,CG,73.71,overcast clouds,-4.1536,13.55,HOTEL KIM ELISA
350,Cururupu,BR,75.92,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
351,Benicarlo,ES,71.91,clear sky,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
354,Santa Marta,CO,79.3,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
356,Shahabad,IN,77.38,clear sky,27.65,79.95,डाक बंगला
363,Eirunepe,BR,72.36,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
365,Foso,GH,71.85,overcast clouds,5.7012,-1.2866,Pristina Cottage
369,Hobyo,SO,77.0,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
377,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
381,Doka,SD,73.11,few clouds,13.5167,35.7667,منصور عثمان
386,Kaduqli,SD,72.46,scattered clouds,11.0167,29.7167,Nussyba
388,Cap Malheureux,MU,72.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
389,Hit,IQ,74.3,clear sky,33.6416,42.8251,المعلق حسان رزاق
412,Juruti,BR,75.49,heavy intensity rain,-2.1522,-56.0922,Pousada Marupiara
420,Segou,ML,79.25,overcast clouds,13.4317,-6.2157,Comme chez soi
430,Acandi,CO,75.54,light rain,8.5063,-77.2778,Hotel Patio Bonito
437,Pucallpa,PE,75.24,scattered clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
445,Camapua,BR,75.4,overcast clouds,-19.5314,-54.0439,Comercial Estrela
446,Jacareacanga,BR,73.65,light rain,-6.2222,-57.7528,Casa do Ian😎
450,Bandarbeyla,SO,78.01,broken clouds,9.4942,50.8122,JABIR HOTEL
452,Sao Geraldo Do Araguaia,BR,74.77,scattered clouds,-6.4006,-48.555,Hotel Por do Sol
457,Araguaina,BR,76.57,broken clouds,-7.1911,-48.2072,Hotel São Vicente
463,Mineros,BO,72.25,broken clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
465,Fomboni,KM,76.23,few clouds,-12.28,43.7425,Auberge les abou
467,Tefe,BR,73.09,moderate rain,-3.3542,-64.7114,Aracati Hotel
484,Khandbari,NP,72.68,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
485,Mana,GF,79.16,broken clouds,5.6592,-53.7767,LE SAMANA
486,Yining,CN,77.27,clear sky,29.0361,114.5636,Xiushui Hotel
489,Pitimbu,BR,73.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
493,Biltine,TD,79.47,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
495,Karera,IN,76.08,clear sky,25.4667,78.15,पं श्री पुरुषोत्तम तिवारी
497,Grand Gaube,MU,72.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
500,Nizwa,OM,77.07,scattered clouds,22.9333,57.5333,Orient Apartments
504,Carauari,BR,72.91,overcast clouds,-4.8828,-66.8958,Hotel Fellip
507,Koungheul,SN,77.67,few clouds,13.9833,-14.8,hotel le PARADIS
509,Santarem,BR,74.39,moderate rain,-2.4431,-54.7083,Hotel Imperador
510,Boueni,YT,71.58,clear sky,-12.9025,45.0761,The feet in water
511,Inirida,CO,73.9,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
514,Omboue,GA,73.54,light rain,-1.5746,9.2618,Hotel Olako
515,Ler,SS,73.67,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
522,Bardiyah,LY,71.58,light rain,31.7561,25.0865,بورتو بردية
526,Quibdo,CO,75.54,light intensity drizzle,5.6947,-76.6611,Domus Goval Hotel Quibdó
