City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dusi,IN,12.7667,79.6833,81.23,77,41,0.83,scattered clouds
1,Puerto Colombia,CO,10.9878,-74.9547,81.97,82,56,13.82,broken clouds
2,Ribeira Grande,PT,38.5167,-28.7,61.77,83,98,8.99,overcast clouds
3,Westport,US,41.1415,-73.3579,61.92,77,10,5.99,clear sky
4,Ushuaia,AR,-54.8,-68.3,32.32,83,0,7.18,clear sky
5,Kharp,RU,66.8014,65.8081,36.86,89,100,1.59,overcast clouds
6,Busselton,AU,-33.65,115.3333,59.18,54,60,11.63,broken clouds
7,Port Alfred,ZA,-33.5906,26.891,63.18,96,100,5.01,light rain
8,Cape Town,ZA,-33.9258,18.4232,62.91,85,0,4.61,clear sky
9,Bredasdorp,ZA,-34.5322,20.0403,57.24,97,99,7.2,overcast clouds
10,Warrington,GB,53.3925,-2.5802,51.46,83,20,17.27,few clouds
11,Vuktyl,RU,63.8567,57.3094,35.55,90,100,2.33,light rain
12,Turayf,SA,31.6725,38.6637,67.14,42,0,6.73,clear sky
13,Belmonte,BR,-15.8631,-38.8828,72.95,84,44,9.73,scattered clouds
14,Muros,ES,42.7762,-9.0603,64.09,94,100,18.25,overcast clouds
15,Qaanaaq,GL,77.484,-69.3632,30.99,79,100,32.06,snow
16,Codrington,AU,-38.2667,141.9667,57.25,66,40,10.47,scattered clouds
17,Ilulissat,GL,69.2167,-51.1,33.82,34,78,21.85,broken clouds
18,Maiduguri,NG,11.8464,13.1603,75.0,22,87,4.9,overcast clouds
19,Souillac,MU,-20.5167,57.5167,71.98,73,40,8.05,scattered clouds
20,Cidreira,BR,-30.1811,-50.2056,63.55,89,100,19.44,overcast clouds
21,San Juan Bautista,PE,-14.0108,-75.7358,65.93,59,0,1.23,clear sky
22,Sayat,TM,38.7839,63.8803,65.68,27,14,6.69,few clouds
23,Necochea,AR,-38.5473,-58.7368,46.81,81,0,11.07,clear sky
24,Mar Del Plata,AR,-38.0023,-57.5575,54.88,83,0,8.99,clear sky
25,Chissamba,AO,-12.1667,17.3333,64.11,82,95,3.27,light rain
26,Emmaus,US,40.5395,-75.4968,56.77,83,0,3.44,clear sky
27,Nagua,DO,19.3832,-69.8474,77.0,87,13,4.81,few clouds
28,Nanortalik,GL,60.1432,-45.2371,35.08,68,0,13.18,clear sky
29,Gweta,BW,-20.1833,25.2333,72.27,39,98,13.33,overcast clouds
30,Hermanus,ZA,-34.4187,19.2345,61.81,90,54,10.38,broken clouds
31,Bathsheba,BB,13.2167,-59.5167,80.33,77,98,10.94,overcast clouds
32,Barcelos,PT,41.5388,-8.6151,62.92,80,99,8.9,overcast clouds
33,Kibre Mengist,ET,5.8833,38.9833,55.83,97,68,1.05,broken clouds
34,Padang,ID,-0.9492,100.3543,78.85,90,100,4.27,overcast clouds
35,Dikson,RU,73.5069,80.5464,32.41,81,36,11.9,scattered clouds
36,Vila Velha,BR,-20.3297,-40.2925,70.95,88,33,1.99,scattered clouds
37,Port Elizabeth,ZA,-33.918,25.5701,63.32,99,100,7.0,overcast clouds
38,Punta Arenas,CL,-53.15,-70.9167,41.11,65,5,7.29,clear sky
39,Ashtian,IR,34.5217,50.0019,54.21,29,56,3.56,broken clouds
40,Mitsamiouli,KM,-11.3847,43.2844,74.89,78,1,10.6,clear sky
41,Hithadhoo,MV,-0.6,73.0833,81.18,69,95,14.76,overcast clouds
