City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2022-10-12 04:09:38,-9.8,-139.0333,298.4,74,4,7.59
1,Namatanai,PG,2022-10-12 04:09:38,-3.6667,152.4333,302.88,65,76,3.67
2,Castro,BR,2022-10-12 04:09:39,-24.7911,-50.0119,288.79,98,99,2.27
3,East London,ZA,2022-10-12 04:09:40,-33.0153,27.9116,292.38,85,95,3.06
4,Sao Filipe,CV,2022-10-12 04:09:40,14.8961,-24.4956,299.33,79,89,3.14
5,Rikitea,PF,2022-10-12 04:04:15,-23.1203,-134.9692,294.1,80,50,8.86
6,Jamestown,US,2022-10-12 04:05:57,42.097,-79.2353,287.92,68,0,3.09
7,Hamilton,US,2022-10-12 04:09:19,39.1834,-84.5333,290.24,62,0,4.12
8,Ushuaia,AR,2022-10-12 04:09:42,-54.8,-68.3,275.96,81,100,6.17
9,Albany,US,2022-10-12 04:03:55,42.6001,-73.9662,284.73,87,0,1.63
10,Igarka,RU,2022-10-12 04:09:43,67.4667,86.5833,275.24,98,100,3.95
11,Punta Arenas,CL,2022-10-12 04:09:43,-53.15,-70.9167,275.21,87,40,11.83
12,Butaritari,KI,2022-10-12 04:09:44,3.0707,172.7902,301.15,75,74,9.01
13,Vaini,TO,2022-10-12 04:04:33,-21.2,-175.2,298.24,88,20,4.63
14,Puerto Ayora,EC,2022-10-12 04:09:45,-0.7393,-90.3518,292.34,93,95,2.24
15,Mengcheng,CN,2022-10-12 04:09:45,33.2579,116.5655,292.78,44,42,3.48
16,Tuktoyaktuk,CA,2022-10-12 04:09:46,69.4541,-133.0374,271.8,76,82,5.68
17,Bethel,US,2022-10-12 04:08:08,41.3712,-73.414,286.35,81,0,0.0
18,San Isidro,PE,2022-10-12 04:09:47,-12.1167,-77.05,289.27,84,40,5.66
19,San Carlos,VE,2022-10-12 04:09:48,9.6612,-68.5827,295.83,91,37,1.52
20,Petauke,ZM,2022-10-12 04:09:48,-14.2426,31.3253,291.96,61,1,3.91
21,Airai,TL,2022-10-12 04:09:49,-8.9266,125.4092,297.39,52,100,1.2
22,Gornopravdinsk,RU,2022-10-12 04:09:50,60.05,69.9,277.03,85,15,2.18
23,Salalah,OM,2022-10-12 04:08:33,17.0151,54.0924,299.95,50,36,0.76
24,Henties Bay,NA,2022-10-12 04:09:51,-22.116,14.2845,287.09,93,100,1.55
25,Hilo,US,2022-10-12 04:09:51,19.7297,-155.09,301.08,84,40,0.0
26,Yar-Sale,RU,2022-10-12 04:09:52,66.8333,70.8333,276.01,80,87,4.33
27,Kelme,LT,2022-10-12 04:09:52,55.6339,22.9342,278.16,96,24,2.85
28,Victoria,HK,2022-10-12 04:01:32,22.2855,114.1577,301.07,48,5,5.81
29,Port Alfred,ZA,2022-10-12 04:09:53,-33.5906,26.891,292.14,89,100,3.02
30,San Patricio,US,2022-10-12 04:09:54,28.017,-97.5169,301.39,81,0,4.25
31,Yulara,AU,2022-10-12 04:04:35,-25.2406,130.9889,302.74,18,97,2.13
32,Sorong,ID,2022-10-12 04:09:55,-0.8833,131.25,301.31,77,100,3.2
33,Nanortalik,GL,2022-10-12 04:09:56,60.1432,-45.2371,272.88,72,63,2.5
34,Sumbuya,SL,2022-10-12 04:09:57,7.6467,-11.9611,295.64,98,100,3.51
35,Carnarvon,AU,2022-10-12 04:09:58,-24.8667,113.6333,292.91,42,25,11.84
36,Mar Del Plata,AR,2022-10-12 04:09:58,-38.0023,-57.5575,284.87,80,0,6.71
37,Yellowknife,CA,2022-10-12 04:01:02,62.456,-114.3525,273.46,80,100,11.32
38,Hellin,ES,2022-10-12 04:09:59,38.5106,-1.701,288.34,79,22,2.2
39,Kodiak,US,2022-10-12 04:10:00,57.79,-152.4072,276.88,60,0,0.0
40,Qaanaaq,GL,2022-10-12 04:04:29,77.484,-69.3632,258.46,63,14,3.57
41,Bandarbeyla,SO,2022-10-12 04:10:01,9.4942,50.8122,299.13,78,79,5.73
42,Zaysan,KZ,2022-10-12 04:11:01,47.4667,84.8667,283.29,35,0,2.65
43,Emerald,AU,2022-10-12 04:11:02,-23.5333,148.1667,300.56,39,1,3.46
44,Selje,NO,2022-10-12 04:11:02,62.0459,5.351,282.58,28,95,6.36
45,Makakilo City,US,2022-10-12 04:11:03,21.3469,-158.0858,300.33,81,100,2.06
46,Cramlington,GB,2022-10-12 04:11:04,55.0865,-1.586,283.15,81,40,2.06
47,Port Shepstone,ZA,2022-10-12 04:11:04,-30.7414,30.455,293.54,79,100,3.84
48,Bluff,NZ,2022-10-12 04:11:05,-46.6,168.3333,283.17,57,29,2.58
49,Saint-Philippe,RE,2022-10-12 04:11:05,-21.3585,55.7679,295.92,71,43,4.75
50,Neyshabur,IR,2022-10-12 04:11:06,36.2133,58.7958,292.69,19,1,0.49
51,Ponta Do Sol,PT,2022-10-12 04:11:07,32.6667,-17.1,294.26,78,11,2.37
52,Guerrero Negro,MX,2022-10-12 04:11:07,27.9769,-114.0611,293.89,80,25,6.22
53,Bredasdorp,ZA,2022-10-12 04:11:08,-34.5322,20.0403,286.75,96,99,0.24
54,Dikson,RU,2022-10-12 04:11:09,73.5069,80.5464,273.47,98,100,6.37
55,Hermanus,ZA,2022-10-12 04:11:09,-34.4187,19.2345,289.71,92,75,2.37
56,Norman Wells,CA,2022-10-12 04:11:10,65.282,-126.8329,269.7,83,15,3.44
57,Ilorin,NG,2022-10-12 04:11:10,8.5,4.55,294.87,93,61,2.1
58,Tromso,NO,2022-10-12 04:11:11,69.6496,18.957,277.16,87,75,11.83
59,Mataura,NZ,2022-10-12 04:04:20,-46.1927,168.8643,287.26,42,6,2.8
60,Tacuarembo,UY,2022-10-12 04:11:12,-31.7333,-55.9833,281.11,97,2,1.63
61,Saskylakh,RU,2022-10-12 04:11:12,71.9167,114.0833,270.91,94,95,2.15
62,North Branch,US,2022-10-12 04:11:13,45.5113,-92.9802,294.19,83,7,2.68
63,Busselton,AU,2022-10-12 04:04:14,-33.65,115.3333,289.14,45,40,5.46
64,Barrow,US,2022-10-12 04:11:14,71.2906,-156.7887,271.16,93,100,11.32
65,Saint George,US,2022-10-12 04:11:14,37.1041,-113.5841,298.12,26,0,2.57
66,Chokurdakh,RU,2022-10-12 04:11:15,70.6333,147.9167,264.63,79,64,3.75
67,Hirado,JP,2022-10-12 04:11:15,33.3597,129.5531,295.59,59,0,10.55
68,Upernavik,GL,2022-10-12 04:09:30,72.7868,-56.1549,264.87,76,96,2.01
69,Orzhytsya,UA,2022-10-12 04:11:17,49.7918,32.7012,280.77,59,90,2.01
70,Asau,RO,2022-10-12 04:11:17,46.4333,26.4,281.66,68,79,1.09
71,Floro,NO,2022-10-12 04:11:18,61.5996,5.0328,282.57,81,75,7.72
72,Awbari,LY,2022-10-12 04:11:19,26.5921,12.7805,293.45,29,2,3.19
73,Kinangan,PH,2022-10-12 04:11:19,6.3014,125.585,303.96,63,100,0.88
74,Tuatapere,NZ,2022-10-12 04:11:20,-46.1333,167.6833,284.3,58,14,3.37
75,Touros,BR,2022-10-12 04:11:21,-5.1989,-35.4608,297.59,80,100,6.6
76,Georgetown,MY,2022-10-12 04:11:21,5.4112,100.3354,301.98,77,20,2.06
77,Luderitz,NA,2022-10-12 04:11:22,-26.6481,15.1594,290.99,62,93,4.45
78,Jalu,LY,2022-10-12 04:11:22,29.0331,21.5482,294.87,41,91,2.24
79,Ketchikan,US,2022-10-12 04:10:08,55.3422,-131.6461,285.41,87,100,2.06
80,Berlevag,NO,2022-10-12 04:11:23,70.8578,29.0864,280.15,87,100,4.63
81,Padang,ID,2022-10-12 04:11:24,-0.9492,100.3543,302.18,75,100,0.73
82,Honiara,SB,2022-10-12 04:10:32,-9.4333,159.95,302.11,72,72,1.81
83,Necochea,AR,2022-10-12 04:11:25,-38.5473,-58.7368,284.25,45,59,6.55
84,Half Moon Bay,US,2022-10-12 04:00:45,37.4636,-122.4286,290.43,88,100,4.12
85,Mandan,US,2022-10-12 04:11:26,46.8267,-100.8896,282.01,64,0,5.14
86,Yakeshi,CN,2022-10-12 04:11:26,49.2833,120.7333,284.27,20,100,5.29
87,Cape Coast,GH,2022-10-12 04:11:27,5.1053,-1.2466,297.62,88,57,2.1
